"Canning peas"|"Tons"|||||2.4||||"10312900"|"22478769"
"Alfalfa hay"|"Tons"|||||5||||"10312900"|"22478770"
"Barley"|"Bu"||35|||75||||"10312900"|"22478771"
"Sugar beets"|"Tons"|||||18||||"10312900"|"22478772"
"Tomatoes"|"Tons"|||||20||||"10312900"|"22478773"
"Wheat"|"Bu"||28|||70||||"10312900"|"22478774"
"Canning peas"|"Tons"|||||2.4||||"10312902"|"22478775"
"Alfalfa hay"|"Tons"|||||5||||"10312902"|"22478776"
"Barley"|"Bu"||35|||75||||"10312902"|"22478777"
"Tomatoes"|"Tons"|||||20||||"10312902"|"22478778"
"Wheat"|"Bu"||28|||70||||"10312902"|"22478779"
"Canning peas"|"Tons"|||||2.4||||"10312907"|"22478780"
"Alfalfa hay"|"Tons"|||||5||||"10312907"|"22478781"
"Barley"|"Bu"||35|||75||||"10312907"|"22478782"
"Tomatoes"|"Tons"|||||20||||"10312907"|"22478783"
"Wheat"|"Bu"||28|||70||||"10312907"|"22478784"
"Alfalfa hay"|"Tons"|||||4.5||||"10312909"|"22478785"
"Barley"|"Bu"||35|||68||||"10312909"|"22478786"
"Canning peas"|"Tons"|||||2.2||||"10312909"|"22478787"
"Wheat"|"Bu"||28|||63||||"10312909"|"22478788"
"Alfalfa hay"|"Tons"|||||5.5||||"10312916"|"22478789"
"Barley"|"Bu"|||||90||||"10312916"|"22478790"
"Corn silage"|"Tons"|||||22||||"10312916"|"22478791"
"Sugar beets"|"Tons"|||||22||||"10312916"|"22478792"
"Tomatoes"|"Tons"|||||25||||"10312916"|"22478793"
"Spring wheat"|"Bu"|||||80||||"10312916"|"22478794"
"Barley"|"Bu"||20|||||||"10312917"|"22478795"
"Winter wheat"|"Bu"||14|||||||"10312917"|"22478796"
"Alfalfa hay"|"Tons"|||||5.5||||"10312923"|"22478797"
"Barley"|"Bu"|||||90||||"10312923"|"22478798"
"Corn silage"|"Tons"|||||22||||"10312923"|"22478799"
"Sugar beets"|"Tons"|||||22||||"10312923"|"22478800"
"Tomatoes"|"Tons"|||||25||||"10312923"|"22478801"
"Spring wheat"|"Bu"|||||80||||"10312923"|"22478802"
"Alfalfa hay"|"Tons"|||||5.5||||"10312927"|"22478803"
"Barley"|"Bu"|||||90||||"10312927"|"22478804"
"Corn silage"|"Tons"|||||22||||"10312927"|"22478805"
"Sugar beets"|"Tons"|||||22||||"10312927"|"22478806"
"Tomatoes"|"Tons"|||||25||||"10312927"|"22478807"
"Spring wheat"|"Bu"|||||80||||"10312927"|"22478808"
"Sugar beets"|"Tons"|||||21||||"10312933"|"22478809"
"Alfalfa hay"|"Tons"|||||5||||"10312933"|"22478810"
"Barley"|"Bu"|||||90||||"10312933"|"22478811"
"Corn silage"|"Tons"|||||19||||"10312933"|"22478812"
"Pasture"|"AUM"|||||10||||"10312933"|"22478813"
"Wheat"|"Bu"|||||75||||"10312933"|"22478814"
"Sugar beets"|"Tons"|||||21||||"10312939"|"22478815"
"Alfalfa hay"|"Tons"|||||5||||"10312939"|"22478816"
"Barley"|"Bu"|||||90||||"10312939"|"22478817"
"Corn silage"|"Tons"|||||19||||"10312939"|"22478818"
"Pasture"|"AUM"|||||10||||"10312939"|"22478819"
"Wheat"|"Bu"|||||75||||"10312939"|"22478820"
"Alfalfa hay"|"Tons"|||||5||||"10312954"|"22478821"
"Barley"|"Bu"|||||95||||"10312954"|"22478822"
"Corn silage"|"Tons"|||||20||||"10312954"|"22478823"
"Pasture"|"AUM"|||||8||||"10312954"|"22478824"
"Sugar beets"|"Tons"|||||21||||"10312954"|"22478825"
"Wheat"|"Bu"|||||75||||"10312954"|"22478826"
"Barley"|"Bu"||40|||||||"10312985"|"22478827"
"Wheat"|"Bu"||30|||||||"10312985"|"22478828"
"Barley"|"Bu"||40|||||||"10312986"|"22478829"
"Winter wheat"|"Bu"||30|||||||"10312986"|"22478830"
"Barley"|"Bu"||30|||||||"10312990"|"22478831"
"Wheat"|"Bu"||22|||||||"10312990"|"22478832"
"Barley"|"Bu"||40|||||||"10312991"|"22478833"
"Wheat"|"Bu"||30|||||||"10312991"|"22478834"
"Barley"|"Bu"||40|||||||"10312992"|"22478835"
"Wheat"|"Bu"||30|||||||"10312992"|"22478836"
"Alfalfa hay"|"Tons"|||||4.5||||"10312997"|"22478837"
"Barley"|"Bu"|||||90||||"10312997"|"22478838"
"Corn silage"|"Tons"|||||18||||"10312997"|"22478839"
"Sugar beets"|"Tons"|||||19||||"10312997"|"22478840"
"Spring wheat"|"Bu"|||||70||||"10312997"|"22478841"
"Alfalfa hay"|"Tons"|||||5||||"10313006"|"22478842"
"Barley"|"Bu"|||||95||||"10313006"|"22478843"
"Corn silage"|"Tons"|||||25||||"10313006"|"22478844"
