"A1"||"H"||||0|||18|||||0|8|15|35|43|50|50|62.5|75|45|57.5|70|35|52.5|70|35|50|65||24.8|||1.9|||2.8|||4|||7.8|||8.3|||52.7||||||||18|22.5|27||||2|3|4||||1.1|1.13|1.15|||||1.24|||4.23|9.17|14.11|0.1|0.11|0.12|||||13.6|||6.4|||15||0|1.5|2.9|25|30|35|5|10|15|0|2|7|".15"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|10|20|30|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"10312881"|"29203511"
"C1"||"H"||||18|||38|||||0|8|15|35|43|50|50|62.5|75|45|57.5|70|35|52.5|70|35|50|65||24.8|||1.9|||2.8|||4|||7.8|||8.3|||52.7||||||||18|22.5|27||||1|1.5|2||||1.1|1.13|1.15|||||1.24|||4.23|9.17|14.11|0.1|0.11|0.12|||||13.1|||5.6|||15||0|1.5|2.9|25|30|35|5|10|15|0|2|7|".15"|".43"|0|2|3|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"10312881"|"29203512"
"R"||"H"||||38|||63||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.71|1.41||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"10312881"|"29203513"
"A11"||"H"||||0|||46|||||0|0|0|0|3|5|55|65|75|50|60|70|40|52.5|65|30|40|50||41.4|||3.9|||5.4|||7.3|||12.9|||11.9|||37.1||||||||18|21.5|25||||2|3.5|5||||1.25|1.3|1.35|||||1.38|||4.23|9.17|14.11|0.11|0.13|0.14|||||22.2|||11.3|||27||0|1.5|2.9|25|30|35|10|12.5|15|0|1|4|".15"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|15|20|25|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312882"|"29203514"
"A12"||"H"||||46|||66|||||0|0|0|0|3|5|55|65|75|50|60|70|40|52.5|65|30|40|50||38.8|||3.5|||4.9|||6.7|||12.2|||11.5|||36.7||||||||22|24.5|27||||1|1.5|2||||1.3|1.35|1.4|||||1.43|||4.23|9.17|14.11|0.11|0.13|0.14|||||21.8|||11|||26||0|1.5|2.9|25|30|35|10|12.5|15|0|1|4|".17"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|15|20|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312882"|"29203515"
"C1"||"H"||||66|||81|||||0|0|0|0|5|10|35|45|55|30|40|50|25|37.5|50|20|30|40||38.8|||3.5|||4.9|||6.7|||12.2|||11.5|||36.7||||||||22|24.5|27||||0.5|0.75|1||||1.3|1.35|1.4|||||1.46|||4.23|9.17|14.11|0.08|0.1|0.11|||||15.9|||7.7|||17||0|1.5|2.9|25|30|35|10|12.5|15|0|0|1|".15"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|10|15|20|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312882"|"29203516"
"C2"||"H"||||81|||127|||||0|0|0|0|5|10|35|45|55|30|40|50|25|37.5|50|20|30|40||35.4|||3.1|||4.4|||6.1|||11.2|||10.6|||33.6||||||||27|31|35||||0.5|0.75|1||||1.3|1.35|1.4|||||1.71|||1.41|2.82|4.23|0.09|0.11|0.13|||||17.2|||9.6|||17||3|4.5|5.9|35|40|45|15|17.5|20|0|1|2|".10"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|15|20|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312882"|"29203517"
"C3"||"H"||||127|||152|||||0|0|0|0|5|10|35|45|55|30|40|50|15|25|35|10|15|20||65.9|||4.3|||14.1|||17.5|||19.6|||10.4|||19.1||||||||10|15|20||||0|0.25|0.5||||1.35|1.43|1.5|||||1.55|||14.11|28.23|42.34|0.06|0.07|0.08|||||9.9|||4.7|||16||0|1.5|2.9|20|25|30|5|7.5|10|0|0|0|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|5|10|15|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312882"|"29203518"
"A1"||"H"||||0|||20|||||5|10|15|25|35|45|55|65|75|50|60|70|25|37.5|50|10|15|20||85.7|||0.7|||10.9|||29.2|||34.7|||10.2|||4.3||||||||8|10|12||||2|3.5|5||||1.4|1.5|1.6|||||1.65|||4.23|72.69|141.14|0.03|0.04|0.05||11.6|||9.5|||5.1|||13||0|1.5|2.9|15|17.5|20|0|2.5|5|0|0|0|".02"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|5|10|15|||||||6.1|6.7|7.3|||||||||||||||||||||||||||||||||"10312883"|"29203519"
"C"||"H"||||20|||36|||||10|15|20|30|43|55|35|45|55|30|40|50|15|22.5|30|5|10|15||85.7|||0.7|||10.9|||29.2|||34.7|||10.2|||4.3||||||||8|10|12||||1|2|3||||1.4|1.5|1.6|||||1.77|||4.23|72.69|141.14|0.02|0.03|0.03||6.2|||4.9|||2.3|||||0|1.5|2.9|15|17.5|20|0|2.5|5|0|0|0|".05"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|5|10|15|||||||6.1|6.7|7.3|||||||||||||||||||||||||||||||||"10312883"|"29203520"
