"SR- FSL SIC"|"Yes"|"Yes"|"Stratified fine sandy loam to silty clay"|"29203493"|"57202569"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203494"|"57202570"
"SIC"|"No "|"Yes"|"Silty clay"|"29203495"|"57202571"
"SIC"|"No "|"Yes"|"Silty clay"|"29203496"|"57202572"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203497"|"57202573"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203498"|"57202574"
"SIL"|"No "|"Yes"|"Silt loam"|"29203499"|"57202575"
"SIC"|"No "|"Yes"|"Silty clay"|"29203500"|"57202576"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203501"|"57202577"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203502"|"57202578"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203503"|"57202579"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203504"|"57202580"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"29203505"|"57202581"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203506"|"57202582"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203507"|"57202583"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203508"|"57202584"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203509"|"57202585"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"29203510"|"57202586"
"CBV-SIL"|"No "|"Yes"|"Very cobbly silt loam"|"29203511"|"57202587"
"CBV-SIL"|"No "|"Yes"|"Very cobbly silt loam"|"29203512"|"57202588"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"29203513"|"57202589"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203514"|"57202590"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203515"|"57202591"
"GRV-L"|"No "|"Yes"|"Very gravelly loam"|"29203516"|"57202592"
"GRV-CL"|"No "|"Yes"|"Very gravelly clay loam"|"29203517"|"57202593"
"GRV-SL"|"No "|"Yes"|"Very gravelly sandy loam"|"29203518"|"57202594"
"CBV-LS"|"No "|"Yes"|"Very cobbly loamy sand"|"29203519"|"57202595"
"CBX-LS"|"No "|"Yes"|"Extremely cobbly loamy sand"|"29203520"|"57202596"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"29203521"|"57202597"
"GR-SL"|"No "|"Yes"|"Gravelly sandy loam"|"29203522"|"57202598"
"GRV-SL"|"No "|"Yes"|"Very gravelly sandy loam"|"29203523"|"57202599"
"GRX-SL"|"No "|"No "|"Extremely gravelly sandy loam"|"29203523"|"57202600"
"GRX-SL"|"No "|"Yes"|"Extremely gravelly sandy loam"|"29203524"|"57202601"
"GRV-SL"|"No "|"Yes"|"Very gravelly sandy loam"|"29203525"|"57202602"
"GRX-SL"|"No "|"No "|"Extremely gravelly sandy loam"|"29203525"|"57202603"
"CBV-SIL"|"No "|"Yes"|"Very cobbly silt loam"|"29203526"|"57202604"
"CBV-SIL"|"No "|"Yes"|"Very cobbly silt loam"|"29203527"|"57202605"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"29203528"|"57202606"
"CBV-SIL"|"No "|"Yes"|"Very cobbly silt loam"|"29203529"|"57202607"
"CBX-SIL"|"No "|"No "|"Extremely cobbly silt loam"|"29203529"|"57202608"
"CBV-SIL"|"No "|"Yes"|"Very cobbly silt loam"|"29203530"|"57202609"
"CBV-SIL"|"No "|"Yes"|"Very cobbly silt loam"|"29203531"|"57202610"
"CBX-SIL"|"No "|"Yes"|"Extremely cobbly silt loam"|"29203532"|"57202611"
"STX-L"|"No "|"Yes"|"Extremely stony loam"|"29203533"|"57202612"
"CBV-L"|"No "|"Yes"|"Very cobbly loam"|"29203534"|"57202613"
"CBX-CL"|"No "|"Yes"|"Extremely cobbly clay loam"|"29203535"|"57202614"
"CBX-CL"|"No "|"Yes"|"Extremely cobbly clay loam"|"29203536"|"57202615"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"29203537"|"57202616"
"CBV-L"|"No "|"Yes"|"Very cobbly loam"|"29203538"|"57202617"
"CBV-CL"|"No "|"Yes"|"Very cobbly clay loam"|"29203539"|"57202618"
"CBV-CL"|"No "|"Yes"|"Very cobbly clay loam"|"29203540"|"57202619"
"CBX-CL"|"No "|"No "|"Extremely cobbly clay loam"|"29203540"|"57202620"
"CBX-SCL"|"No "|"Yes"|"Extremely cobbly sandy clay loam"|"29203541"|"57202621"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"29203542"|"57202622"
"STX-L"|"No "|"Yes"|"Extremely stony loam"|"29203543"|"57202623"
"CBV-L"|"No "|"Yes"|"Very cobbly loam"|"29203544"|"57202624"
"CBX-CL"|"No "|"Yes"|"Extremely cobbly clay loam"|"29203545"|"57202625"
"CBX-CL"|"No "|"Yes"|"Extremely cobbly clay loam"|"29203546"|"57202626"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"29203547"|"57202627"
"L"|"No "|"Yes"|"Loam"|"29203548"|"57202628"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203549"|"57202629"
"CB-SIL"|"No "|"Yes"|"Cobbly silt loam"|"29203550"|"57202630"
"CB-SICL"|"No "|"Yes"|"Cobbly silty clay loam"|"29203551"|"57202631"
"CBV-C"|"No "|"Yes"|"Very cobbly clay"|"29203552"|"57202632"
"CBV-SCL"|"No "|"No "|"Very cobbly sandy clay loam"|"29203553"|"57202633"
"GRV-SCL"|"No "|"Yes"|"Very gravelly sandy clay loam"|"29203553"|"57202634"
"L"|"No "|"Yes"|"Loam"|"29203554"|"57202635"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203555"|"57202636"
"GR-L"|"No "|"No "|"Gravelly loam"|"29203555"|"57202637"
"CB-CL"|"No "|"Yes"|"Cobbly clay loam"|"29203556"|"57202638"
"CBV-CL"|"No "|"No "|"Very cobbly clay loam"|"29203556"|"57202639"
"CBV-LS"|"No "|"Yes"|"Very cobbly loamy sand"|"29203557"|"57202640"
"CBV-S"|"No "|"No "|"Very cobbly sand"|"29203557"|"57202641"
"CBX-LS"|"No "|"No "|"Extremely cobbly loamy sand"|"29203557"|"57202642"
"L"|"No "|"Yes"|"Loam"|"29203558"|"57202643"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"29203559"|"57202644"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203559"|"57202645"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203560"|"57202646"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"29203561"|"57202647"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203561"|"57202648"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203562"|"57202649"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203563"|"57202650"
"GR-L"|"No "|"No "|"Gravelly loam"|"29203563"|"57202651"
"CB-CL"|"No "|"Yes"|"Cobbly clay loam"|"29203564"|"57202652"
"CBV-CL"|"No "|"No "|"Very cobbly clay loam"|"29203564"|"57202653"
"CBV-LS"|"No "|"Yes"|"Very cobbly loamy sand"|"29203565"|"57202654"
"CBV-S"|"No "|"No "|"Very cobbly sand"|"29203565"|"57202655"
"CBX-LS"|"No "|"No "|"Extremely cobbly loamy sand"|"29203565"|"57202656"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203566"|"57202657"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203567"|"57202658"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203568"|"57202659"
"GR-L"|"No "|"No "|"Gravelly loam"|"29203568"|"57202660"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203569"|"57202661"
"GR-L"|"No "|"No "|"Gravelly loam"|"29203569"|"57202662"
"CB-CL"|"No "|"Yes"|"Cobbly clay loam"|"29203570"|"57202663"
"CBV-CL"|"No "|"No "|"Very cobbly clay loam"|"29203570"|"57202664"
"CBV-LS"|"No "|"Yes"|"Very cobbly loamy sand"|"29203571"|"57202665"
"CBV-S"|"No "|"No "|"Very cobbly sand"|"29203571"|"57202666"
"CBX-LS"|"No "|"No "|"Extremely cobbly loamy sand"|"29203571"|"57202667"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203572"|"57202668"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203573"|"57202669"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203574"|"57202670"
"GR-L"|"No "|"No "|"Gravelly loam"|"29203574"|"57202671"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203575"|"57202672"
"GR-L"|"No "|"No "|"Gravelly loam"|"29203575"|"57202673"
"CB-CL"|"No "|"Yes"|"Cobbly clay loam"|"29203576"|"57202674"
"CBV-CL"|"No "|"No "|"Very cobbly clay loam"|"29203576"|"57202675"
"CBV-LS"|"No "|"Yes"|"Very cobbly loamy sand"|"29203577"|"57202676"
"CBV-S"|"No "|"No "|"Very cobbly sand"|"29203577"|"57202677"
"CBX-LS"|"No "|"No "|"Extremely cobbly loamy sand"|"29203577"|"57202678"
"GR-L"|"No "|"Yes"|"Gravelly loam"|"29203578"|"57202679"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203579"|"57202680"
"GR-L"|"No "|"No "|"Gravelly loam"|"29203579"|"57202681"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203580"|"57202682"
"GR-L"|"No "|"No "|"Gravelly loam"|"29203580"|"57202683"
"CB-CL"|"No "|"Yes"|"Cobbly clay loam"|"29203581"|"57202684"
"CBV-CL"|"No "|"No "|"Very cobbly clay loam"|"29203581"|"57202685"
"CBV-LS"|"No "|"Yes"|"Very cobbly loamy sand"|"29203582"|"57202686"
"CBV-S"|"No "|"No "|"Very cobbly sand"|"29203582"|"57202687"
"CBX-LS"|"No "|"No "|"Extremely cobbly loamy sand"|"29203582"|"57202688"
"STX-L"|"No "|"Yes"|"Extremely stony loam"|"29203583"|"57202689"
"SIC"|"No "|"No "|"Silty clay"|"29203584"|"57202690"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203584"|"57202691"
"SIC"|"No "|"Yes"|"Silty clay"|"29203585"|"57202692"
"SL"|"No "|"Yes"|"Sandy loam"|"29203586"|"57202693"
"SIC"|"No "|"Yes"|"Silty clay"|"29203587"|"57202694"
"SICL"|"No "|"No "|"Silty clay loam"|"29203587"|"57202695"
"SIC"|"No "|"Yes"|"Silty clay"|"29203588"|"57202696"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203589"|"57202697"
"SIL"|"No "|"No "|"Silt loam"|"29203589"|"57202698"
"SIL"|"No "|"Yes"|"Silt loam"|"29203590"|"57202699"
"SIC"|"No "|"Yes"|"Silty clay"|"29203591"|"57202700"
"SICL"|"No "|"No "|"Silty clay loam"|"29203591"|"57202701"
"SIC"|"No "|"Yes"|"Silty clay"|"29203592"|"57202702"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203593"|"57202703"
"SIL"|"No "|"No "|"Silt loam"|"29203593"|"57202704"
"SIC"|"No "|"No "|"Silty clay"|"29203594"|"57202705"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203594"|"57202706"
"SIC"|"No "|"Yes"|"Silty clay"|"29203595"|"57202707"
"SIC"|"No "|"Yes"|"Silty clay"|"29203596"|"57202708"
"SICL"|"No "|"No "|"Silty clay loam"|"29203596"|"57202709"
"SIC"|"No "|"Yes"|"Silty clay"|"29203597"|"57202710"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203598"|"57202711"
"SIC"|"No "|"No "|"Silty clay"|"29203599"|"57202712"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203599"|"57202713"
"SIC"|"No "|"Yes"|"Silty clay"|"29203600"|"57202714"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203601"|"57202715"
"SIL"|"No "|"No "|"Silt loam"|"29203601"|"57202716"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203602"|"57202717"
"SIC"|"No "|"Yes"|"Silty clay"|"29203603"|"57202718"
"SICL"|"No "|"No "|"Silty clay loam"|"29203603"|"57202719"
"SIC"|"No "|"Yes"|"Silty clay"|"29203604"|"57202720"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203605"|"57202721"
"SIL"|"No "|"No "|"Silt loam"|"29203605"|"57202722"
"SIC"|"No "|"No "|"Silty clay"|"29203606"|"57202723"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203606"|"57202724"
"SIC"|"No "|"Yes"|"Silty clay"|"29203607"|"57202725"
"SICL"|"No "|"No "|"Silty clay loam"|"29203607"|"57202726"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203608"|"57202727"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203609"|"57202728"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203610"|"57202729"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203611"|"57202730"
"SIC"|"No "|"Yes"|"Silty clay"|"29203612"|"57202731"
"C"|"No "|"Yes"|"Clay"|"29203613"|"57202732"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203614"|"57202733"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203615"|"57202734"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203616"|"57202735"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203617"|"57202736"
"SIC"|"No "|"Yes"|"Silty clay"|"29203618"|"57202737"
"C"|"No "|"Yes"|"Clay"|"29203619"|"57202738"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203620"|"57202739"
"SIC"|"No "|"Yes"|"Silty clay"|"29203621"|"57202740"
"SIC"|"No "|"Yes"|"Silty clay"|"29203622"|"57202741"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203623"|"57202742"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203624"|"57202743"
"SIL"|"No "|"Yes"|"Silt loam"|"29203625"|"57202744"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203626"|"57202745"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203627"|"57202746"
"IND"|"No "|"Yes"|"Indurated"|"29203628"|"57202747"
"SIL"|"No "|"Yes"|"Silt loam"|"29203629"|"57202748"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203630"|"57202749"
"L"|"No "|"Yes"|"Loam"|"29203631"|"57202750"
"GRV-SL"|"No "|"No "|"Very gravelly sandy loam"|"29203632"|"57202751"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203632"|"57202752"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203633"|"57202753"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203634"|"57202754"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203635"|"57202755"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"29203636"|"57202756"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203637"|"57202757"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203638"|"57202758"
"PEAT"|"No "|"Yes"|"Peat"|"29203639"|"57202759"
"SIC"|"No "|"Yes"|"Silty clay"|"29203640"|"57202760"
"SIC"|"No "|"Yes"|"Silty clay"|"29203641"|"57202761"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203642"|"57202762"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203643"|"57202763"
"GRV-SIL"|"No "|"Yes"|"Very gravelly silt loam"|"29203644"|"57202764"
"GRV-SIL"|"No "|"Yes"|"Very gravelly silt loam"|"29203645"|"57202765"
"GRX-SICL"|"No "|"No "|"Extremely gravelly silty clay loam"|"29203646"|"57202766"
"GRX-L"|"No "|"Yes"|"Extremely gravelly loam"|"29203646"|"57202767"
"GRV-SL"|"No "|"No "|"Very gravelly sandy loam"|"29203647"|"57202768"
"GRV-L"|"No "|"Yes"|"Very gravelly loam"|"29203647"|"57202769"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"29203648"|"57202770"
"GRV-L"|"No "|"No "|"Very gravelly loam"|"29203649"|"57202771"
"CBV-L"|"No "|"No "|"Very cobbly loam"|"29203650"|"57202772"
"CBV-L"|"No "|"No "|"Very cobbly loam"|"29203651"|"57202773"
"GRV-L"|"No "|"No "|"Very gravelly loam"|"29203652"|"57202774"
"CBX-SIL"|"No "|"No "|"Extremely cobbly silt loam"|"29203652"|"57202775"
"CBX-FSL"|"No "|"Yes"|"Extremely cobbly fine sandy loam"|"29203653"|"57202776"
"GRX-LS"|"No "|"No "|"Extremely gravelly loamy sand"|"29203653"|"57202777"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"29203654"|"57202778"
"GRV-SIL"|"No "|"Yes"|"Very gravelly silt loam"|"29203655"|"57202779"
"GRX-SICL"|"No "|"No "|"Extremely gravelly silty clay loam"|"29203656"|"57202780"
"GRX-L"|"No "|"Yes"|"Extremely gravelly loam"|"29203656"|"57202781"
"GRV-SL"|"No "|"No "|"Very gravelly sandy loam"|"29203657"|"57202782"
"GRV-L"|"No "|"Yes"|"Very gravelly loam"|"29203657"|"57202783"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"29203658"|"57202784"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203659"|"57202785"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203660"|"57202786"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203661"|"57202787"
"SIC"|"No "|"Yes"|"Silty clay"|"29203662"|"57202788"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203663"|"57202789"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203664"|"57202790"
"PEAT"|"No "|"Yes"|"Peat"|"29203665"|"57202791"
"SIC"|"No "|"Yes"|"Silty clay"|"29203666"|"57202792"
"SIC"|"No "|"Yes"|"Silty clay"|"29203667"|"57202793"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203668"|"57202794"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203669"|"57202795"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203670"|"57202796"
"SIC"|"No "|"Yes"|"Silty clay"|"29203671"|"57202797"
"SIC"|"No "|"Yes"|"Silty clay"|"29203672"|"57202798"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203673"|"57202799"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203674"|"57202800"
"S"|"No "|"Yes"|"Sand"|"29203675"|"57202801"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203676"|"57202802"
"SIC"|"No "|"Yes"|"Silty clay"|"29203677"|"57202803"
"SIC"|"No "|"Yes"|"Silty clay"|"29203678"|"57202804"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203679"|"57202805"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203680"|"57202806"
"L"|"No "|"Yes"|"Loam"|"29203681"|"57202807"
"GRV-SL"|"No "|"No "|"Very gravelly sandy loam"|"29203682"|"57202808"
"GR-CL"|"No "|"Yes"|"Gravelly clay loam"|"29203682"|"57202809"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203683"|"57202810"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203684"|"57202811"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203685"|"57202812"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203686"|"57202813"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203687"|"57202814"
"SIC"|"No "|"Yes"|"Silty clay"|"29203688"|"57202815"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203689"|"57202816"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203690"|"57202817"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203691"|"57202818"
"GRX-S"|"No "|"No "|"Extremely gravelly sand"|"29203692"|"57202819"
"SR- GRX-S GRV-SL"|"Yes"|"Yes"|"Stratified extremely gravelly sand to very gravelly sandy loam"|"29203692"|"57202820"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203693"|"57202821"
"SICL"|"No "|"Yes"|"Silty clay loam"|"29203694"|"57202822"
