"Silty clay"||"57202569"|"58214943"
"Fine sandy loam"||"57202569"|"58214944"
"Silty clay loam"||"57202570"|"58214626"
"Fine sandy loam"||"57202584"|"58214732"
"Fine sandy loam"||"57202585"|"58214623"
"Loamy fine sand"||"57202586"|"58214733"
"Silt loam"||"57202587"|"58213913"
"Sandy loam"||"57202601"|"58214422"
"Sandy loam"||"57202602"|"58214588"
"Sandy loam"||"57202603"|"58214704"
"Silt loam"||"57202604"|"58214087"
"Loam"||"57202617"|"58214423"
"Clay loam"||"57202618"|"58214424"
"Clay loam"||"57202619"|"58214425"
"Clay loam"||"57202620"|"58214426"
"Sandy clay loam"||"57202621"|"58213920"
"Sandy clay loam"||"57202634"|"58214427"
"Loam"||"57202635"|"58214428"
"Clay loam"||"57202636"|"58214429"
"Loam"||"57202637"|"58214430"
"Loam"||"57202651"|"58214098"
"Clay loam"||"57202652"|"58213926"
"Clay loam"||"57202653"|"58214265"
"Loamy sand"||"57202654"|"58213927"
"Loam"||"57202668"|"58214814"
"Loam"||"57202669"|"58214815"
"Clay loam"||"57202670"|"58214816"
"Loam"||"57202671"|"58214709"
"Clay loam"||"57202684"|"58214818"
"Clay loam"||"57202685"|"58214819"
"Loamy sand"||"57202686"|"58214820"
"Sand"||"57202687"|"58214598"
"Silty clay loam"||"57202701"|"58214268"
"Silty clay"||"57202702"|"58214432"
"Silty clay loam"||"57202703"|"58214433"
"Silt loam"||"57202704"|"58214434"
"Silty clay"||"57202718"|"58214106"
"Silty clay loam"||"57202719"|"58214107"
"Silty clay"||"57202720"|"58213932"
"Silty clay loam"||"57202721"|"58214271"
"Silty clay loam"||"57202734"|"58214111"
"Silty clay loam"||"57202735"|"58214274"
"Silty clay loam"||"57202736"|"58213936"
"Silty clay"||"57202737"|"58214275"
"Clay"||"57202738"|"58213937"
"Sandy loam"||"57202751"|"58214778"
"Clay loam"||"57202752"|"58214670"
"Silty clay loam"||"57202753"|"58214849"
"Silty clay loam"||"57202754"|"58214652"
