"ML"|"Yes"|"29203494"|"55686500"
"MH"|"Yes"|"29203495"|"55686501"
"ML"|"No "|"29203495"|"55686502"
"MH"|"Yes"|"29203496"|"55686503"
"ML"|"No "|"29203496"|"55686504"
"CL"|"Yes"|"29203497"|"55686505"
"CL"|"Yes"|"29203498"|"55686506"
"CL-ML"|"Yes"|"29203499"|"55686507"
"CL"|"No "|"29203500"|"55686508"
"CH"|"Yes"|"29203500"|"55686509"
"CL-ML"|"No "|"29203501"|"55686510"
"ML"|"No "|"29203501"|"55686511"
"SC-SM"|"Yes"|"29203501"|"55686512"
"SM"|"No "|"29203501"|"55686513"
"CL-ML"|"No "|"29203502"|"55686514"
"ML"|"No "|"29203502"|"55686515"
"SC-SM"|"Yes"|"29203502"|"55686516"
"SM"|"No "|"29203502"|"55686517"
"CL-ML"|"No "|"29203503"|"55686518"
"ML"|"No "|"29203503"|"55686519"
"SC-SM"|"Yes"|"29203503"|"55686520"
"SM"|"No "|"29203503"|"55686521"
"CL-ML"|"No "|"29203504"|"55686522"
"ML"|"No "|"29203504"|"55686523"
"SC-SM"|"Yes"|"29203504"|"55686524"
"SM"|"No "|"29203504"|"55686525"
"SC-SM"|"No "|"29203505"|"55686526"
"SM"|"Yes"|"29203505"|"55686527"
"CL-ML"|"No "|"29203506"|"55686528"
"ML"|"No "|"29203506"|"55686529"
"SC-SM"|"Yes"|"29203506"|"55686530"
"SM"|"No "|"29203506"|"55686531"
"CL-ML"|"No "|"29203507"|"55686532"
"ML"|"No "|"29203507"|"55686533"
"SC-SM"|"Yes"|"29203507"|"55686534"
"SM"|"No "|"29203507"|"55686535"
"CL-ML"|"No "|"29203508"|"55686536"
"ML"|"No "|"29203508"|"55686537"
"SC-SM"|"Yes"|"29203508"|"55686538"
"SM"|"No "|"29203508"|"55686539"
"CL-ML"|"No "|"29203509"|"55686540"
"ML"|"No "|"29203509"|"55686541"
"SC-SM"|"Yes"|"29203509"|"55686542"
"SM"|"No "|"29203509"|"55686543"
"SC-SM"|"No "|"29203510"|"55686544"
"SM"|"Yes"|"29203510"|"55686545"
"CL"|"No "|"29203511"|"55686546"
"CL-ML"|"No "|"29203511"|"55686547"
"GC"|"No "|"29203511"|"55686548"
"GC-GM"|"Yes"|"29203511"|"55686549"
"CL"|"No "|"29203512"|"55686550"
"CL-ML"|"No "|"29203512"|"55686551"
"GC"|"No "|"29203512"|"55686552"
"GC-GM"|"Yes"|"29203512"|"55686553"
"GC"|"Yes"|"29203514"|"55686554"
"SC"|"No "|"29203514"|"55686555"
"GC"|"Yes"|"29203515"|"55686556"
"SC"|"No "|"29203515"|"55686557"
"GC"|"Yes"|"29203516"|"55686558"
"GC"|"Yes"|"29203517"|"55686559"
"GC-GM"|"Yes"|"29203518"|"55686560"
"GC"|"No "|"29203518"|"55686561"
"GM"|"No "|"29203519"|"55686562"
"SM"|"Yes"|"29203519"|"55686563"
"GM"|"Yes"|"29203520"|"55686564"
"SM"|"No "|"29203520"|"55686565"
"GC-GM"|"No "|"29203522"|"55686566"
"GM"|"No "|"29203522"|"55686567"
"SC-SM"|"Yes"|"29203522"|"55686568"
"SM"|"No "|"29203522"|"55686569"
"GC-GM"|"Yes"|"29203523"|"55686570"
"GM"|"No "|"29203523"|"55686571"
"GC-GM"|"Yes"|"29203524"|"55686572"
"GM"|"No "|"29203524"|"55686573"
"GC-GM"|"Yes"|"29203525"|"55686574"
"GM"|"No "|"29203525"|"55686575"
"CL"|"No "|"29203526"|"55686576"
"CL-ML"|"No "|"29203526"|"55686577"
"GC"|"Yes"|"29203526"|"55686578"
"GC-GM"|"No "|"29203526"|"55686579"
"CL"|"No "|"29203527"|"55686580"
"CL-ML"|"No "|"29203527"|"55686581"
"GC"|"Yes"|"29203527"|"55686582"
"GC-GM"|"No "|"29203527"|"55686583"
"GC-GM"|"Yes"|"29203529"|"55686584"
"GM"|"No "|"29203529"|"55686585"
"GC-GM"|"Yes"|"29203530"|"55686586"
"GM"|"No "|"29203530"|"55686587"
"GC-GM"|"Yes"|"29203531"|"55686588"
"GM"|"No "|"29203531"|"55686589"
"GC-GM"|"Yes"|"29203532"|"55686590"
"GM"|"No "|"29203532"|"55686591"
"GC-GM"|"Yes"|"29203533"|"55686592"
"GC-GM"|"Yes"|"29203534"|"55686593"
"GC"|"Yes"|"29203535"|"55686594"
"GC"|"Yes"|"29203536"|"55686595"
"GC-GM"|"Yes"|"29203538"|"55686596"
"GC"|"Yes"|"29203539"|"55686597"
"GC"|"Yes"|"29203540"|"55686598"
"GC"|"Yes"|"29203541"|"55686599"
"GC-GM"|"Yes"|"29203543"|"55686600"
"GC-GM"|"Yes"|"29203544"|"55686601"
"GC"|"Yes"|"29203545"|"55686602"
"GC"|"Yes"|"29203546"|"55686603"
"CL"|"Yes"|"29203548"|"55686604"
"GC"|"No "|"29203549"|"55686605"
"SC"|"Yes"|"29203549"|"55686606"
"CL"|"Yes"|"29203550"|"55686607"
"GC"|"No "|"29203550"|"55686608"
"SC"|"No "|"29203550"|"55686609"
"CL"|"Yes"|"29203551"|"55686610"
"GC"|"Yes"|"29203552"|"55686611"
"GC"|"Yes"|"29203553"|"55686612"
"SC"|"No "|"29203553"|"55686613"
"CL"|"Yes"|"29203554"|"55686614"
"GC"|"Yes"|"29203555"|"55686615"
"GC"|"No "|"29203556"|"55686616"
"SC"|"Yes"|"29203556"|"55686617"
"GM"|"Yes"|"29203557"|"55686618"
"SM"|"No "|"29203557"|"55686619"
"CL"|"Yes"|"29203558"|"55686620"
"GC"|"Yes"|"29203559"|"55686621"
"GC"|"No "|"29203560"|"55686622"
"SC"|"Yes"|"29203560"|"55686623"
"GC"|"Yes"|"29203561"|"55686624"
"GC"|"No "|"29203562"|"55686625"
"SC"|"Yes"|"29203562"|"55686626"
