"mixed"|"10312875"|"8037232"
"mixed"|"10312876"|"8037281"
"mixed"|"10312877"|"8037318"
"mixed"|"10312878"|"8037278"
"mixed"|"10312879"|"8037226"
"mixed"|"10312881"|"8037285"
"mixed"|"10312882"|"8037286"
"mixed"|"10312883"|"8037287"
"mixed"|"10312887"|"8037236"
"mixed"|"10312890"|"8037237"
"mixed"|"10312892"|"8037189"
"mixed"|"10312893"|"8037190"
"mixed"|"10312896"|"8037141"
"mixed"|"10312897"|"8037142"
"montmorillonitic"|"10312899"|"8037143"
"mixed"|"10312900"|"8037144"
"mixed"|"10312902"|"8037191"
"mixed"|"10312907"|"8037238"
"mixed"|"10312909"|"8037192"
"mixed"|"10312914"|"8037239"
"mixed"|"10312916"|"8037288"
"mixed"|"10312917"|"8037289"
"mixed"|"10312923"|"8037290"
"mixed"|"10312927"|"8037291"
"mixed"|"10312933"|"8037240"
"mixed"|"10312939"|"8037193"
"mixed"|"10312940"|"8037227"
"mixed"|"10312941"|"8037145"
"not used"|"10312942"|"8037178"
"mixed"|"10312944"|"8037274"
"mixed"|"10312945"|"8037276"
"mixed"|"10312946"|"8037241"
"mixed"|"10312947"|"8037282"
"mixed"|"10312948"|"8037146"
"mixed"|"10312954"|"8037242"
"mixed"|"10312958"|"8037182"
"mixed"|"10312959"|"8037184"
"not used"|"10312961"|"8037179"
"mixed"|"10312962"|"8037228"
"not used"|"10312964"|"8037271"
"mixed"|"10312965"|"8037292"
"mixed"|"10312967"|"8037293"
"not used"|"10312969"|"8037224"
"mixed"|"10312970"|"8037229"
"mixed"|"10312971"|"8037194"
"mixed"|"10312976"|"8037243"
"montmorillonitic"|"10312979"|"8037195"
"mixed"|"10312981"|"8037147"
"montmorillonitic"|"10312983"|"8037244"
"montmorillonitic"|"10312985"|"8037148"
"montmorillonitic"|"10312986"|"8037149"
"mixed"|"10312987"|"8037150"
"mixed"|"10312989"|"8037196"
"montmorillonitic"|"10312990"|"8037245"
"montmorillonitic"|"10312991"|"8037246"
"montmorillonitic"|"10312992"|"8037197"
"mixed"|"10312993"|"8037140"
"mixed"|"10312995"|"8037275"
"mixed"|"10312996"|"8037294"
"mixed"|"10312997"|"8037295"
"mixed"|"10312998"|"8037322"
"mixed"|"10312999"|"8037296"
"mixed"|"10313000"|"8037323"
"mixed"|"10313006"|"8037198"
"mixed (calcareous)"|"10313008"|"8037151"
"mixed"|"10313012"|"8037152"
"mixed"|"10313013"|"8037153"
"mixed"|"10313014"|"8037154"
"mixed"|"10313019"|"8037199"
"montmorillonitic"|"10313023"|"8037200"
