textureName,CHtxtgrpKEY,CHTXTKEY,CHKEY,AvaWaterCon,MUKEY,ComponentPercent,MajorComponent,COKEY,TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r
Silty clay loam,15422882,15492177,8215213,0,674333,35,Yes,3053003,89,152,,4.2343,1.2,
Silt loam,15274710,15605698,8215213,0,674333,35,Yes,3053003,89,152,,4.2343,1.2,
Silt loam,15423497,15643676,8216607,0,675768,3,No ,3053435,28,38,,4.2343,1.33,
Silt loam,15719839,15870710,8216607,0,675768,3,No ,3053435,28,38,,4.2343,1.33,
Loam,15275325,15757197,8216607,0,675768,3,No ,3053435,28,38,,4.2343,1.33,
Loamy coarse sand,15423498,15795020,8216609,0,675769,6,No ,3001623,30,61,,141.1433,1.43,
Loamy sand,15719841,15568023,8216609,0,675769,6,No ,3001623,30,61,,141.1433,1.43,
Sand,15571670,15530173,8216609,0,675769,6,No ,3001623,30,61,,141.1433,1.43,
Sandy loam,15423499,15946364,8216611,0,675769,2,No ,3053436,56,66,,4.2343,1.43,
Loam,15571671,15681517,8216611,0,675769,2,No ,3053436,56,66,,4.2343,1.43,
Silty clay loam,15423500,15492333,8216614,0,675770,1,No ,3053437,20,43,,4.2343,1.3,
Silt loam,15571672,15832861,8216614,0,675770,1,No ,3053437,20,43,,4.2343,1.3,
,15424218,15492514,8218194,0,677007,5,No ,2976183,38,48,,,,
,15424634,15643965,8219309,0,661669,55,Yes,3028344,66,76,,,,
Silt loam,15424635,15795309,8219313,0,661680,18,Yes,3002439,43,71,,4.0,1.5,
Loam,15572807,15984494,8219313,0,661680,18,Yes,3002439,43,71,,4.0,1.5,
Loam,15424636,15946653,8219315,0,661681,19,Yes,2976533,23,152,,4.0,1.45,
Silt loam,15276464,15454800,8219315,0,661681,19,Yes,2976533,23,152,,4.0,1.45,
Silt loam,15424651,15946657,8219351,0,661710,6,Yes,3054264,13,30,,4.0,1.4,
Very fine sandy loam,15720994,15568318,8219351,0,661710,6,Yes,3054264,13,30,,4.0,1.4,
Silt loam,15572823,15681811,8219351,0,661710,6,Yes,3054264,13,30,,4.0,1.4,
Sand,15424653,15643970,8219355,0,661711,5,Yes,2976546,86,152,,42.34,1.65,
