TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r,COKEY,CHKEY
0,18,,1.4114,1.33,,2965033,7932416
18,135,,1.4114,1.38,,2965033,8015733
135,152,,1.4114,1.53,,2965033,8099050
152,178,,14.1143,1.53,,2965033,8182366
0,20,,0.4234,1.23,,2965034,7932419
20,53,,0.4234,1.3,,2965034,8015736
53,152,,0.0,1.3,,2965034,8099053
33,43,,,,,2965035,7932422
0,13,,4.2343,1.35,,2965035,8099055
13,33,,4.2343,1.38,,2965035,8182371
0,20,,4.2343,1.23,,2965036,8015741
20,43,,4.2343,1.25,,2965036,8099058
43,53,,,,,2965036,8182374
53,152,,42.343,1.23,,2965037,7932428
0,5,,4.2343,1.3,,2965037,8015744
5,36,,4.2343,1.3,,2965037,8099061
36,53,,,,,2965037,8182377
0,36,,4.2343,1.3,,2965038,8099064
36,89,,4.2343,1.3,,2965038,8182380
89,152,,4.2343,1.35,,2965038,7932431
152,163,,,,,2965038,8015748
0,23,,4.2343,,,2965039,7932434
23,36,,4.2343,,,2965039,8015751
36,130,,4.2343,,,2965039,8099068
130,140,,,,,2965039,8182384
127,152,,42.343,1.5,,2965040,8182387
0,56,,14.1143,1.4,,2965040,8015754
56,127,,14.1143,1.45,,2965040,8099071
0,38,,42.343,1.53,,2965041,7932440
38,152,,42.343,1.6,,2965041,8015757
0,25,,4.2343,1.08,,2965042,8099076
25,152,,1.4114,1.25,,2965042,8182392
28,124,,4.2343,1.45,,2965043,7932446
124,152,,141.1433,,,2965043,8015763
0,28,,4.2343,1.55,,2965043,8182395
23,160,,1.4114,1.48,,2965044,7932449
0,23,,4.2343,1.25,,2965044,8182398
0,18,,4.2343,,,2965045,7932451
18,79,,4.2343,,,2965045,8015768
79,152,,42.343,,,2965045,8099085
0,25,,4.2343,1.45,,2965046,7932454
25,152,,4.2343,1.45,,2965046,8015771
46,64,,1.4114,1.5,,2965047,7932456
64,152,,4.2343,1.4,,2965047,8015773
0,20,,4.2343,1.3,,2965047,8099089
152,213,,141.1433,1.68,,2965047,8099090
20,46,,4.2343,1.4,,2965047,8182405
0,20,,0.4234,1.4,,2965048,7932460
20,109,,0.4234,1.4,,2965048,8015777
109,145,,14.1143,1.55,,2965048,8099094
145,152,,42.343,1.55,,2965048,8182410
0,10,,4.2343,1.4,,2965049,7932464
10,51,,14.1143,1.45,,2965049,8015781
51,152,,141.1433,1.65,,2965049,8099098
56,152,,1.4114,1.5,,2965050,7932468
0,18,,1.4114,1.4,,2965050,8099101
18,56,,0.4234,1.5,,2965050,8182417
0,25,,4.2343,1.58,,2965051,7932471
25,91,,14.1143,1.63,,2965051,8015788
