CHKEY,CHtxtgrpKEY
7932416,15148826
7932417,15296998
7932418,15445170
7932419,15593341
7932420,15148827
7932420,15296999
7932421,15445171
7932422,15593342
7932423,15148828
7932424,15297000
7932424,15445172
7932425,15593343
7932426,15148829
7932426,15297001
7932427,15445173
7932428,15148830
7932428,15297002
7932428,15593344
7932429,15445174
7932430,15593345
7932431,15148831
7932431,15297003
7932431,15445175
7932432,15593346
7932433,15148832
7932434,15297004
7932435,15445176
7932436,15148833
7932436,15593347
7932437,15297005
7932437,15445177
7932437,15593348
7932438,15148834
7932439,15297006
7932439,15445178
7932440,15593349
7932441,15148835
7932442,15297007
7932443,15445179
7932444,15593350
7932445,15148836
7932446,15297008
7932446,15445180
7932447,15593351
7932448,15148837
7932449,15297009
7932449,15445181
7932449,15593352
7932450,15148838
7932451,15297010
7932452,15445182
7932453,15148839
7932453,15593353
7932454,15297011
7932455,15445183
7932456,15148840
7932456,15593354
7932457,15297012
7932458,15445184
7932458,15593355
7932459,15148841
7932460,15297013
7932461,15445185
7932462,15148842
7932462,15593356
7932463,15297014
7932464,15445186
7932465,15593357
7932466,15148843
7932466,15297015
7932467,15445187
7932467,15593358
7932468,15148844
7932468,15297016
7932468,15445188
7932469,15148845
7932469,15297017
7932469,15593359
7932470,15445189
7932471,15593360
7932472,15148846
7932473,15297018
7932474,15148847
7932474,15445190
7932474,15593361
7932475,15297019
7932476,15445191
7932477,15148848
7932477,15297020
7932477,15593362
7932478,15445192
7932479,15593363
7932480,15148849
7932481,15297021
7932481,15445193
7932481,15593364
7932482,15148850
7932482,15297022
7932482,15445194
7932483,15148851
7932483,15593365
7932484,15297023
7932484,15445195
7932485,15593366
7932486,15148852
7932487,15297024
7932487,15445196
7932488,15593367
7932489,15148853
7932490,15297025
7932491,15148854
7932491,15445197
7932491,15593368
7932492,15297026
7932493,15445198
7932494,15148855
7932494,15593369
7932495,15297027
7932495,15445199
7932495,15593370
7932496,15148856
7932497,15297028
7932498,15445200
7932499,15148857
7932499,15593371
7932500,15297029
7932500,15445201
7932500,15593372
7932501,15148858
7932501,15297030
7932502,15445202
7932503,15593373
7932504,15148859
7932505,15297031
7932506,15445203
7932507,15148860
7932507,15593374
7932508,15297032
7932509,15445204
7932510,15148861
7932510,15593375
7932511,15297033
7932511,15445205
7932511,15593376
7932512,15148862
7932512,15297034
7932512,15445206
7932513,15593377
7932514,15148863
7932514,15297035
7932515,15148864
7932515,15445207
7932515,15593378
7932516,15297036
7932516,15445208
7932517,15148865
7932517,15593379
7932518,15297037
7932519,15445209
7932519,15593380
7932520,15148866
7932520,15297038
7932520,15445210
7932521,15148867
7932521,15297039
7932521,15593381
7932522,15445211
7932523,15593382
7932524,15148868
7932525,15297040
7932526,15445212
7932527,15593383
7932528,15148869
7932528,15297041
7932529,15445213
7932529,15593384
7932530,15148870
7932530,15297042
7932530,15445214
7932531,15593385
7932532,15148871
7932533,15297043
7932533,15445215
7932534,15593386
7932535,15148872
7932536,15297044
7932536,15445216
7932536,15593387
7932537,15148873
7932537,15297045
7932538,15445217
7932539,15148874
7932539,15297046
7932539,15593388
7932540,15445218
7932541,15593389
7932542,15148875
7932542,15297047
7932542,15445219
7932543,15148876
7932543,15297048
7932543,15593390
7932544,15148877
7932544,15445220
7932544,15593391
7932545,15297049
7932545,15445221
7932545,15593392
7932546,15148878
7932546,15297050
7932547,15445222
7932547,15593393
7932548,15148879
7932549,15297051
7932549,15445223
7932550,15593394
7932551,15148880
7932551,15297052
7932551,15445224
7932552,15593395
7932553,15148881
7932553,15297053
7932554,15445225
7932555,15593396
7932556,15148882
7932557,15297054
7932557,15445226
7932558,15148883
7932558,15593397
7932559,15297055
7932560,15445227
7932561,15593398
7932562,15148884
7932562,15297056
7932562,15445228
7932563,15593399
7932564,15148885
7932565,15297057
7932566,15445229
7932567,15148886
7932567,15297058
7932567,15593400
7932568,15148887
7932568,15445230
7932568,15593401
7932569,15297059
7932570,15148888
7932570,15445231
7932570,15593402
7932571,15297060
7932572,15148889
7932572,15445232
7932572,15593403
7932573,15297061
7932573,15445233
7932573,15593404
7932574,15148890
7932575,15297062
7932575,15445234
7932575,15593405
7932576,15148891
7934101,15594113
7934102,15149599
7934102,15297771
7934103,15149600
7934103,15445943
7934103,15594114
7934262,15149677
7934262,15446020
7934262,15594191
7934263,15297849
7934263,15446021
7934263,15594192
7934264,15149678
7934264,15297850
7934264,15446022
7934271,15149682
7934271,15297854
7934271,15446026
7934272,15594197
7934369,15297900
7934369,15446072
7934369,15594243
7934370,15149729
7934370,15297901
7934370,15446073
7934371,15149730
7934371,15297902
7934371,15594244
7934389,15149740
7934389,15594254
7934390,15297912
7934390,15446084
7934390,15594255
7934470,15149778
7934470,15594292
7934471,15297950
7934471,15446122
7934472,15149779
7934472,15297951
7934472,15594293
7934511,15297971
7934589,15298010
7934596,15149840
7934596,15298012
7934596,15446184
7934597,15149841
7934597,15298013
7934597,15594355
7934598,15446185
7934598,15594356
7934681,15298053
7934682,15149882
7934682,15446225
7934682,15594396
7934683,15298054
7934683,15446226
7934683,15594397
7934684,15149883
7934685,15298055
7934686,15446227
7934687,15149884
7934687,15298056
7934687,15594398
7934713,15149897
7934714,15298069
7934786,15149932
7934786,15594446
7934797,15298108
7934800,15298109
7934801,15446281
7934867,15149968
7934867,15594482
7935021,15298212
7935022,15150041
7935022,15446384
7935022,15594555
7935024,15594556
7935025,15150042
7935025,15298214
7935025,15446386
7935054,15446399
7935054,15594570
7935090,15298245
7935090,15446417
7935090,15594588
7935091,15150074
7935091,15298246
7935091,15446418
7935110,15298256
7935110,15446428
7935110,15594599
7935111,15150085
7935111,15298257
7935111,15446429
7935112,15150086
7935112,15594600
7935130,15150096
7935130,15446439
7935130,15594610
7935131,15298268
