ComponentPercent,MajorComponent,MUKEY,COKEY
100,No ,657964,3041799
4,Yes,661627,3021862
18,Yes,661627,3067197
4,Yes,661627,2976525
4,Yes,661627,2989478
4,Yes,661627,2995955
12,Yes,661627,2970048
5,Yes,661627,3054244
4,Yes,661627,3015385
5,Yes,661627,3034815
5,Yes,661627,3060721
15,Yes,661627,3015368
20,Yes,661627,3060704
14,No ,661628,3062182
9,No ,661628,2984463
8,No ,661628,3029800
14,No ,661628,2990940
11,No ,661628,3003893
6,No ,661628,3023323
7,No ,661628,2965033
5,No ,661628,2971510
26,No ,661628,3049229
7,No ,661629,2984464
4,No ,661629,3036277
8,No ,661629,3023324
10,No ,661629,2990941
7,No ,661629,3042753
2,No ,661629,3055706
3,No ,661629,2977987
13,No ,661629,2965034
7,No ,661629,2997417
3,No ,661629,3010370
9,No ,661629,3003894
2,No ,661629,3016847
10,No ,661629,3062183
13,No ,661629,3049230
2,No ,661629,3029801
1,No ,661630,2971511
24,No ,661630,3055707
40,No ,661630,3023325
2,No ,661630,2977988
1,No ,661630,3010371
14,No ,661630,2997418
1,No ,661630,3042754
5,No ,661630,3003895
9,No ,661630,3036278
3,No ,661630,3016848
3,No ,661631,2965035
3,No ,661631,3055708
2,No ,661631,3049231
15,No ,661631,2984465
15,No ,661631,2971512
8,No ,661631,3010372
1,No ,661631,3062184
12,No ,661631,3029802
41,No ,661631,2990942
1,No ,661632,3029803
3,No ,661632,2965036
3,No ,661632,3049232
2,No ,661632,2977989
39,No ,661632,3042755
1,No ,661632,3023326
7,No ,661632,2971513
1,No ,661632,3003896
3,No ,661632,2984466
13,No ,661632,2997419
2,No ,661632,2990943
17,No ,661632,3036279
2,No ,661632,3062185
6,No ,661632,3016849
11,No ,661633,3062186
1,No ,661633,2977990
5,No ,661633,2997420
16,No ,661633,3010373
2,No ,661633,3042756
1,No ,661633,3055709
2,No ,661633,3023327
1,No ,661633,3036280
59,No ,661633,3003897
2,No ,661633,3016850
15,Yes,661634,2983002
5,Yes,661634,3034816
19,Yes,661634,3041292
4,Yes,661634,2989479
20,Yes,661634,3002432
6,Yes,661634,2970049
7,Yes,661634,3067198
5,Yes,661634,3054245
7,Yes,661634,3047768
2,Yes,661634,3028339
10,Yes,661634,3008909
12,No ,661635,3049233
14,No ,661635,2984467
1,No ,661635,3029804
3,No ,661635,2997421
25,No ,661635,3016851
3,No ,661635,2965037
2,No ,661635,2971514
19,No ,661635,2977991
16,No ,661635,3010374
2,No ,661635,2990944
3,No ,661635,3055710
5,Yes,661636,3048058
14,Yes,661636,3022152
5,Yes,661636,3041582
11,Yes,661636,2983292
7,Yes,661636,2996245
15,Yes,661636,3015675
13,Yes,661636,3002722
14,Yes,661636,3061011
5,Yes,661636,2976815
11,Yes,661636,2989768
5,Yes,661637,2983003
22,Yes,661637,2995956
3,Yes,661637,3047769
3,Yes,661637,3008910
5,Yes,661637,3041293
20,Yes,661637,2976526
3,Yes,661637,3067199
13,Yes,661637,3060722
8,Yes,661637,3015386
6,Yes,661637,3002433
7,Yes,661637,3021863
3,Yes,661637,3028340
2,Yes,661637,2970050
8,Yes,661638,2976527
27,Yes,661638,3054246
5,Yes,661638,2989480
5,Yes,661638,3002434
9,Yes,661638,3034817
6,Yes,661638,3021864
5,Yes,661638,2983004
6,Yes,661638,3015387
10,Yes,661638,2995957
7,Yes,661638,3060723
4,Yes,661638,3047770
2,Yes,661638,3028341
2,Yes,661638,3008911
4,Yes,661638,3041294
6,Yes,661639,3015388
11,Yes,661639,3054247
9,Yes,661639,2970051
7,Yes,661639,2976528
8,Yes,661639,2995958
6,Yes,661639,3060724
5,Yes,661639,3021865
10,Yes,661639,2989481
5,Yes,661639,3041295
9,Yes,661639,3067200
5,Yes,661639,2983005
3,Yes,661639,3047771
11,Yes,661639,3034818
5,Yes,661639,3002435
2,Yes,661640,3002667
10,Yes,661640,3048002
4,Yes,661640,3054479
6,Yes,661640,3067432
4,Yes,661640,2976760
5,Yes,661640,2970283
1,Yes,661640,3028574
4,Yes,661640,2989713
15,Yes,661640,3002666
4,Yes,661640,3035050
1,Yes,661640,2983237
4,Yes,661640,3015620
2,Yes,661640,2996190
7,Yes,661640,3009143
5,Yes,661640,3041526
9,Yes,661640,3028573
2,Yes,661640,3060956
1,Yes,661640,3048003
2,Yes,661640,3022097
2,Yes,661640,3041527
10,Yes,661640,2983236
26,No ,661641,2984468
2,No ,661641,2965038
26,No ,661641,3003898
4,No ,661641,3036281
6,No ,661641,3049234
8,No ,661641,2971515
5,No ,661641,3023328
6,No ,661641,2990945
8,No ,661641,3042757
3,No ,661641,3062187
6,No ,661641,3029805
7,Yes,661642,2989482
5,Yes,661642,2995959
14,Yes,661642,3028342
5,Yes,661642,3060725
5,Yes,661642,2976529
13,Yes,661642,3008912
2,Yes,661642,3002436
8,Yes,661642,3034819
2,Yes,661642,3041296
4,Yes,661642,3021866
2,Yes,661642,2983006
4,Yes,661642,3015389
9,Yes,661642,2970052
11,Yes,661642,3067201
9,Yes,661642,3054248
2,Yes,661643,3041528
2,Yes,661643,3002668
1,Yes,661643,3067434
1,Yes,661643,3060957
2,Yes,661643,2996191
2,Yes,661643,2983238
4,Yes,661643,3015621
2,Yes,661643,3048004
10,Yes,661643,3035051
22,Yes,661643,3067433
4,Yes,661643,2976761
13,Yes,661643,3009144
4,Yes,661643,2989714
12,Yes,661643,3054480
2,Yes,661643,3009145
1,Yes,661643,3028575
13,Yes,661643,2970284
2,Yes,661643,3022098
1,Yes,661643,2970285
8,Yes,661644,2976762
6,Yes,661644,3060958
10,Yes,661644,2996192
46,Yes,661644,3054481
12,Yes,661644,2989715
6,Yes,661644,3015622
12,Yes,661644,3035052
10,Yes,661645,2983239
2,Yes,661645,3015623
2,Yes,661645,3060959
4,Yes,661645,2996193
7,Yes,661645,3028576
2,Yes,661645,3022100
2,Yes,661645,3035053
2,Yes,661645,3002670
12,Yes,661645,3022099
5,Yes,661645,3054482
6,Yes,661645,3009146
4,Yes,661645,2976763
4,Yes,661645,2989716
